a_mm,Rout_mm,r_neck_mm,zMin_mm,zMax_mm,r_max_mm,I_A,spacing_mm,n_events,N_out,eta_trans,eps_x,eps_y,epsn_x,epsn_y,beta_x,alpha_x,beta_y,alpha_y,sigma_x_mm,sigma_y_mm,sigma_xp,sigma_yp,sigma_theta_rms,eps_4D,eps_acc_x,eps_acc_y,gamma_rel,beta_rel,epsn_mean,particle_count,emittance,objective,transmission,focusing_strength,compression_ratio
0.0089038227154809,845.9128821003367,379.4220519905154,0.0,2284.0632923085755,666.1259272795352,40096.79579940586,1407.0945567797662,10000,197,0.0197,134.27113342285156,155.43655395507812,131.41363525390625,152.1286163330078,355.4063415527344,-0.7822461724281311,332.8717041015625,-0.6199607253074646,218.4509429931641,227.46522521972656,0.7803672552108765,0.804009735584259,0.7922766804695129,20870.642578125,2.23063139515034e-07,2.3816400585019437e-07,1.399246096611023,0.6994612216949463,141.77112579345703,197,141.77112579345703,-28.33846515869141,0.0197,11868.90342853238,1.7556331367270837
0.008985965620472,760.3290246102404,329.92657980944296,0.0,2136.6172066709432,654.7670231482534,41240.9721393711,1798.6600258129238,10000,164,0.0164,159.9908905029297,131.5124053955078,157.50869750976562,129.4720458984375,296.4087829589844,-0.4158459007740021,308.2702941894531,-0.6145637631416321,217.76754760742188,201.348876953125,0.7956787347793579,0.7666427493095398,0.7812955975532532,21040.787109375,2.724196690451209e-07,2.619376004986407e-07,1.4032859802246094,0.7015572190284729,143.49037170410156,164,143.49037170410156,-28.684954340820312,0.0164,13910.631189258696,1.9845840354130604
0.0085818891836286,967.7500039018112,235.4221358814098,0.0,2829.728780440897,682.1375753058743,74419.04403065333,1129.367571404848,10000,77,0.0077,227.98045349121097,514.4656372070312,227.60470581054688,513.6177368164062,243.18031311035156,-0.0047539956867694,88.6325454711914,-0.2464594691991806,235.457763671875,213.53781127929688,0.9682544469833374,2.481341600418091,1.883424162864685,117288.109375,3.028568471563631e-07,8.309455665767018e-07,1.4130486249923706,0.7065233588218689,370.61122131347656,77,370.61122131347656,-74.11608426269532,0.0077,36834.424518982865,2.8975082260297325
0.0097132742503509,974.533983962477,285.6368296634629,0.0,2706.01891093472,689.9964457131009,65333.86704835028,1831.685684343658,10000,60,0.006,142.07400512695312,99.45323944091795,142.45394897460938,99.71920013427734,320.8974914550781,-0.3582248389720917,434.5359497070313,-0.4749818742275238,213.52093505859375,207.8845977783203,0.7067914605140686,0.5296297669410706,0.6245245337486267,14129.7197265625,2.940119543382025e-07,2.1712288855724185e-07,1.4161057472229004,0.7080503702163696,121.08657455444336,60,121.08657455444336,-24.212514910888675,0.006,23548.243028023047,2.415642431426137
0.0081254185262725,808.263933605863,308.1270243220213,0.0,2951.70415892507,591.2289704494619,91956.04179614344,1713.6172985883672,10000,222,0.0222,195.7576141357422,109.70155334472656,193.1545562744141,108.24281311035156,182.7418975830078,-0.4433157742023468,257.63153076171875,-0.643418550491333,189.13783264160156,168.11477661132812,1.1321444511413574,0.7759427428245544,0.9705251455307008,21474.9140625,3.612878458625346e-07,2.5626687261137704e-07,1.4048423767089844,0.7023582458496094,150.6986846923828,222,150.6986846923828,-30.121976938476564,0.0222,36728.630843213454,1.918783241263424
0.0086407895068709,816.527841687038,255.98677938918857,0.0,2108.708105022801,686.4595841989583,103406.48954812226,1897.2401186128009,10000,71,0.0071,109.5201416015625,146.25282287597656,106.31995391845705,141.9792938232422,290.18536376953125,-0.2271797358989715,210.80567932128903,-0.6310846209526062,178.2726593017578,175.58737182617188,0.6299945116043091,0.984931707382202,0.8267356157302856,16017.6298828125,2.572949995283125e-07,3.541804005635641e-07,1.3937050104141235,0.696546196937561,124.1496238708496,71,124.1496238708496,-24.824244774169923,0.0071,46749.48519432468,2.681621237772213
0.0077354065969518,744.5655556073507,279.7009468794747,0.0,1090.608019544089,584.7550294156649,74953.51375517655,2289.133839857049,10000,157,0.0157,135.74136352539062,158.33074951171875,139.88682556152344,163.16607666015625,241.48287963867188,-0.3501155078411102,204.04295349121097,-0.6285555362701416,181.05030822753903,179.7394561767578,0.7943680286407471,1.040451169013977,0.925623893737793,21492.03125,2.477877956152952e-07,2.932545157818822e-07,1.4359705448150637,0.7176605463027954,151.52645111083984,157,151.52645111083984,-30.292730222167968,0.0157,34642.953740594916,2.090643724805266
0.0097658592351061,933.7454493692446,277.22052756015484,0.0,1391.5822695785928,688.3571691471743,38323.356105019855,1291.4782026171106,10000,295,0.0295,166.55018615722656,120.9656753540039,163.76942443847656,118.94600677490234,280.418212890625,-0.4682139754295349,316.7531433105469,-0.518878698348999,216.1103973388672,195.74539184570312,0.8509641289710999,0.6962122321128845,0.7774481773376465,20146.85546875,3.4010631111414114e-07,3.010925411217613e-07,1.4024572372436523,0.7011292576789856,141.35771560668945,295,141.35771560668945,-28.247943121337897,0.0295,14155.580665997,2.4830670917679636
0.0075050383421236,690.8829748150636,216.70014333973376,0.0,1848.4440184939529,633.144074778231,138762.52621136833,1311.2752163816876,10000,108,0.0108,102.4150619506836,178.72364807128906,100.91064453125,176.09829711914062,329.8279724121094,-0.4460886716842651,257.04913330078125,-0.4220596849918365,183.7915954589844,214.33795166015625,0.6101644039154053,0.905066192150116,0.7718307375907898,18303.994140625,1.70772665342156e-07,2.191238763771253e-07,1.4038649797439575,0.7018556594848633,138.5044708251953,108,138.5044708251953,-27.692254165039063,0.0108,85321.81468812028,2.9217519888097776
0.0063109385478599,788.7131998138216,394.8789615332333,0.0,2072.192732688241,695.8632233438809,67143.31395435933,2646.2105374432026,10000,190,0.019,148.46005249023438,100.9719009399414,146.82481384277344,99.85972595214844,242.67678833007812,-0.4332013428211212,323.385986328125,-0.4057855010032654,189.80992126464844,180.7011260986328,0.8523880839347839,0.6030309200286865,0.738312840461731,14990.2939453125,1.6411928527304553e-07,1.231591539863075e-07,1.4064465761184692,0.7031801342964172,123.34226989746094,190,123.34226989746094,-24.653253979492188,0.019,26942.93016742454,1.7622190370486897
0.0087389246902155,875.7760700462183,232.52338786897823,0.0,2899.599826583848,673.2781553481527,117086.3410066032,2265.4888722780006,10000,45,0.0045,112.56988525390624,135.1262664794922,122.98645782470705,147.6300811767578,257.9427795410156,-0.0441944673657417,278.2008361816406,-0.4211821556091308,170.40126037597656,193.88719177246097,0.6612613797187805,0.756226122379303,0.7103325128555298,15211.1484375,2.960688050279714e-07,2.745096310263762e-07,1.4810912609100342,0.737654983997345,135.30826950073242,45,135.30826950073242,-27.058053900146486,0.0045,57621.10674061531,2.895528753122804
0.0099865473482956,961.3360109176996,311.0863411205255,0.0,2699.294781354823,630.6962245541531,59681.77220918372,1956.0338570891777,10000,97,0.0097,185.91111755371097,221.3865509033203,190.44940185546875,226.79083251953125,223.50338745117188,-0.479853868484497,155.58509826660156,-0.3109017610549927,203.84249877929688,185.5921630859375,1.0116004943847656,1.2491873502731323,1.1366188526153564,41158.22265625,4.4621751271733956e-07,6.410069772755378e-07,1.4315788745880127,0.7155812978744507,208.6201171875,97,208.6201171875,-41.7162634375,0.0097,19210.797863150852,2.027399281763386
0.0099201303011419,743.380598021708,298.5236187985739,0.0,1480.2912375563862,498.6254830862525,39103.59937303967,1344.8714716302336,10000,310,0.031,126.86239624023438,215.37698364257812,133.08099365234375,225.9344482421875,313.23828125,-0.7759313583374023,188.642578125,-0.6126440763473511,199.3443298339844,201.56703186035156,0.8055077195167542,1.2530940771102903,1.0533488988876345,27323.240234375,3.141665274597472e-07,5.216689942244557e-07,1.4492894411087036,0.7238157391548157,179.50772094726562,310,179.50772094726562,-35.87674418945313,0.031,13204.460461350403,1.6703049664646317
0.0087615793145174,739.5302726436354,207.86242796821975,0.0,1163.5180638977438,639.8231196727128,134829.43489281327,2849.657561010445,10000,102,0.0102,129.2996063232422,166.88986206054688,124.97215270996094,161.3043212890625,222.471435546875,-0.8482365012168884,195.4090118408203,-1.0127787590026855,169.60385131835938,180.5873260498047,0.9996850490570068,1.3153231143951416,1.1682133674621582,21578.79296875,3.450567760410195e-07,3.928441003608896e-07,1.390749216079712,0.6949718594551086,143.13823699951172,102,143.13823699951172,-28.619487399902344,0.0102,74033.1659077206,3.078108564047639
